Name,WMC,LCOM,DIT,CBO,RFC,LCAM,LOC,IsBuggy
PDCIDFontType2_2.0.29,32,0.667,0.0,0.0,8.0,0.125,182,1
PDTrueTypeFont_2.0.29,50,1.0,0.0,0.0,8.0,0.187,284,1
PDType3Font_2.0.29,25,0.0,0.0,0.0,8.0,0.25,170,1
PDDeviceN_2.0.29,13,0.0,0.0,0.0,7.0,0.476,241,1
PDICCBased_2.0.29,32,0.813,0.0,0.0,9.0,0.611,265,0
PDIndexed_2.0.29,21,0.583,0.0,0.0,9.0,0.556,123,0
PDSeparation_2.0.29,8,0.0,0.0,0.0,5.0,0.4,125,1
PDInlineImage_2.0.29,13,1.0,0.0,0.0,12.0,0.528,178,0
PNGConverter_2.0.29,54,0.974,0.0,0.0,9.0,0.556,479,0
XObjImageValidator_2.0.29,25,0.0,0.0,0.0,8.0,0.0,64,1
PageDrawer_2.0.29,39,1.185,0.0,0.0,19.0,0.526,1003,1
ExtractXMP_2.0.29,2,0.0,0.0,0.0,2.0,0.0,76,0
PDFBox_2.0.29,2,0.0,0.0,0.0,2.0,0.0,64,0
PrintPDF_2.0.29,4,0.0,0.0,0.0,3.0,0.0,203,0
XMPMetadata_2.0.29,3,0.0,0.0,0.0,3.0,0.0,144,0
DomXmpParser_2.0.29,4,0.75,0.0,0.0,3.0,0.333,465,1
GlyphSubstitutionTable_2.0.30,47,0.667,1.0,3.0,22.0,0.602,389,1
KerningSubtable_2.0.30,29,0.885,0.0,2.0,15.0,0.521,137,1
MaximumProfileTable_2.0.30,33,0.933,1.0,2.0,35.0,0.687,98,0
OpenTypeFont_2.0.30,9,0.0,1.0,3.0,9.0,0.571,34,1
TTFDataStream_2.0.30,24,0.0,0.0,0.0,16.0,0.656,72,1
TTFParser_2.0.30,47,0.667,0.0,22.0,37.0,0.531,127,1
TTFSubsetter_2.0.30,95,0.84,0.0,15.0,109.0,0.755,563,1
Type1Lexer_2.0.30,71,0.8,0.0,4.0,11.0,0.711,223,0
PDFStreamEngine_2.0.30,82,0.825,0.0,32.0,160.0,0.914,375,1
COSName_2.0.30,4,0.0,1.0,0.0,4.0,0.375,601,1
COSObject_2.0.30,16,0.867,1.0,2.0,16.0,0.75,51,0
SimpleFont_2.0.30,1,0.0,1.0,3.0,6.0,0.0,44,0
Type0Font_2.0.30,2,0.0,1.0,3.0,3.0,0.0,73,0
DCTFilter_2.0.30,3,0.0,1.0,1.0,1.0,0.0,191,1
JPXFilter_2.0.30,0,0.0,1.0,1.0,0.0,0.0,84,1
PDFMergerUtility_2.0.30,194,0.882,0.0,40.0,200.0,0.882,680,1
PDFParser_2.0.30,19,0.0,2.0,8.0,182.0,0.444,64,0
PDFStreamParser_2.0.30,43,1.0,1.0,8.0,21.0,0.762,210,1
PDFXrefStreamParser_2.0.30,23,0.667,1.0,9.0,28.0,0.633,103,1
PDDocument_2.0.30,98,0.911,0.0,36.0,159.0,0.908,515,1
PDDocumentCatalog_2.0.30,66,0.759,0.0,31.0,58.0,0.922,183,0
PDPageTree_2.0.30,52,0.619,0.0,9.0,42.0,0.707,229,0
PDRectangle_2.0.30,19,1.0,0.0,5.0,31.0,0.632,109,0
SecurityHandler_2.0.30,54,0.94,0.0,14.0,35.0,0.868,239,1
SecurityProvider_2.0.30,1,0.0,0.0,0.0,1.0,0.0,9,0
StandardSecurityHandler_2.0.30,133,0.625,1.0,15.0,113.0,0.725,578,1
FDFAnnotation_2.0.30,54,0.893,0.0,24.0,50.0,0.811,326,1
FDFAnnotationLine_2.0.30,21,0.0,1.0,4.0,36.0,0.625,161,1
CMapManager_2.0.30,1,0.0,0.0,0.0,1.0,0.0,15,1
FileSystemFontProvider_2.0.30,12,0.5,1.0,3.0,3.0,0.25,487,1
PDSimpleFont_2.0.30,36,0.889,1.0,10.0,28.0,0.578,159,1
PDType3Font_2.0.30,62,0.958,2.0,20.0,64.0,0.705,170,0
PDLineDashPattern_2.0.30,9,0.25,0.0,3.0,14.0,0.533,33,1
PDColor_2.0.30,19,0.5,0.0,6.0,19.0,0.618,68,0
PDICCBased_2.0.30,59,0.85,2.0,14.0,68.0,0.811,266,0
SampledImageReader_2.0.30,13,0.0,0.0,5.0,14.0,0.25,385,1
PDGraphicsState_2.0.30,59,0.976,0.0,10.0,58.0,0.9,191,1
PDAcroForm_2.0.30,45,0.816,0.0,22.0,95.0,0.864,258,0
PreflightStreamEngine_2.0.30,59,0.667,1.0,63.0,87.0,0.671,297,1
PageDrawer_2.0.30,132,0.982,2.0,41.0,161.0,0.898,1004,1
TilingPaint_2.0.30,2,0.0,0.0,2.0,2.0,0.25,97,1
PDFToImage_2.0.30,4,0.0,0.0,3.0,18.0,0.444,175,1
XMPSchemaFactory_2.0.30,1,0.0,0.0,1.0,1.0,0.0,33,1
DomXmpParser_2.0.30,5,0.75,0.0,3.0,4.0,0.5,468,1
Name,WMC,LCOM,DIT,CBO,RFC,LCAM,LOC,IsBuggy
CFFCharset,16,0.0,0.0,0.0,7.0,0.381,62,0
CFFParser,86,0.0,0.0,14.0,47.0,0.67,808,1
Type1CharString,9,0.867,0.0,3.0,4.0,0.375,220,1
Type2CharString,7,1.125,1.0,1.0,3.0,0.0,198,1
CMapParser,24,1.0,0.0,1.0,11.0,0.583,387,1
PfbParser,15,0.9,0.0,0.0,7.0,0.357,72,1
CmapSubtable,100,0.837,0.0,3.0,34.0,0.395,334,0
GlyfCompositeDescript,40,0.75,1.0,6.0,47.0,0.596,126,1
HorizontalMetricsTable,14,0.375,1.0,3.0,12.0,0.437,45,1
TTFDataStream,24,0.0,0.0,0.0,16.0,0.656,71,0
TTFParser,46,0.667,0.0,21.0,36.0,0.531,128,1
Type1Lexer,71,0.8,0.0,4.0,11.0,0.711,223,1
Type1Parser,96,0.656,0.0,6.0,25.0,0.571,447,1
WindowsFontDirFinder,0,0.0,0.0,0.0,0.0,0.0,63,0
PDFStreamEngine,82,0.844,0.0,32.0,155.0,0.914,382,1
SetTextLeading,0,0.0,1.0,0.0,0.0,0.0,13,1
